BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,press1,press2,press3,press4,press5,press6,press7,press8,press9,press10,press11,RT,ET,norm_MT,isError,timingError,points,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,handPressed1,handPressed2,handPressed3,handPressed4,handPressed5,handPressed6,handPressed7,handPressed8,handPressed9,handPressed10,handPressed11,pressTime1,pressTime2,pressTime3,pressTime4,pressTime5,pressTime6,pressTime7,pressTime8,pressTime9,pressTime10,pressTime11,timeThreshold,timeThresholdSuper,startTime,startTimeReal,trialDur,startTR,startTRtime,useMetronome,isCross,timeThreshold.1,timeThresholdSuper.1,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10
1,17,2,1,2,1,41325242351,3332,7,2,4,1,3,2,5,2,4,2,3,5,1,530.0,2005.0,2535.0,0,0,3,4,1,3,2,5,2,4,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,535.0,695.0,790.0,1160.0,1265.0,1390.0,1740.0,1840.0,1940.0,2295.0,2415.0,3500.0,2940.0,-842150451,-1,5755,-1,-1,1.0,0.0,,,160.0,95.0,370.0,105.0,125.0,350.0,100.0,100.0,355.0,120.0
1,18,2,1,2,1,41325242351,3332,5,3,4,1,3,2,5,2,4,2,3,5,1,475.0,2135.0,2610.0,0,0,3,4,1,3,2,5,2,4,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,480.0,610.0,745.0,1065.0,1205.0,1355.0,1790.0,1900.0,2000.0,2330.0,2485.0,3500.0,2940.0,-842150451,-1,5830,-1,-1,1.0,0.0,,,130.0,135.0,320.0,140.0,150.0,435.0,110.0,100.0,330.0,155.0
1,19,2,1,2,1,14325242135,2333,5,3,1,4,3,2,5,2,4,2,1,3,5,530.0,2085.0,2615.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,535.0,630.0,995.0,1165.0,1255.0,1640.0,1800.0,1935.0,2265.0,2365.0,2450.0,3500.0,2940.0,-842150451,-1,5835,-1,-1,1.0,0.0,,,95.0,365.0,170.0,90.0,385.0,160.0,135.0,330.0,100.0,85.0
1,20,2,1,2,1,14325242135,2333,5,1,1,4,3,2,5,2,4,2,1,3,5,460.0,1825.0,2285.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,465.0,565.0,885.0,985.0,1070.0,1445.0,1565.0,1675.0,1930.0,2025.0,2100.0,3500.0,2940.0,-842150451,-1,5505,-1,-1,1.0,0.0,,,100.0,320.0,100.0,85.0,375.0,120.0,110.0,255.0,95.0,75.0
2,1,2,1,2,1,14325242135,2333,5,3,1,4,3,2,5,2,4,2,1,3,5,455.0,1860.0,2315.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,460.0,550.0,875.0,980.0,1065.0,1440.0,1560.0,1655.0,2015.0,2040.0,2105.0,2782.5,2597.0,-842150451,-1,5535,-1,-1,1.0,0.0,,,90.0,325.0,105.0,85.0,375.0,120.0,95.0,360.0,25.0,65.0
2,2,2,1,2,1,41325242351,3332,9,5,4,1,3,2,5,2,4,2,3,5,1,485.0,2435.0,2920.0,0,0,1,4,1,3,2,5,2,4,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,490.0,620.0,725.0,1050.0,1165.0,1815.0,2145.0,2275.0,2385.0,2680.0,2825.0,2782.5,2597.0,-842150451,-1,6140,-1,-1,1.0,0.0,,,130.0,105.0,325.0,115.0,650.0,330.0,130.0,110.0,295.0,145.0
2,3,2,1,2,1,14325242135,2333,7,3,1,4,3,2,5,2,4,2,1,3,5,500.0,1725.0,2225.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,505.0,585.0,870.0,930.0,1035.0,1405.0,1520.0,1605.0,1880.0,1940.0,2010.0,2782.5,2597.0,-842150451,-1,5445,-1,-1,1.0,0.0,,,80.0,285.0,60.0,105.0,370.0,115.0,85.0,275.0,60.0,70.0
2,4,2,1,2,1,14325242135,2333,9,3,1,4,3,2,5,2,4,2,1,3,5,415.0,2005.0,2420.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,420.0,525.0,840.0,980.0,1030.0,1385.0,1510.0,1630.0,2090.0,2150.0,2215.0,2782.5,2597.0,-842150451,-1,5640,-1,-1,1.0,0.0,,,105.0,315.0,140.0,50.0,355.0,125.0,120.0,460.0,60.0,65.0
2,5,2,1,2,1,13524232514,3332,5,2,1,3,5,2,4,2,3,2,5,1,4,460.0,1945.0,2405.0,0,0,3,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,465.0,575.0,630.0,1020.0,1135.0,1245.0,1700.0,1775.0,1885.0,2220.0,2290.0,2782.5,2597.0,-842150451,-1,5625,-1,-1,1.0,0.0,,,110.0,55.0,390.0,115.0,110.0,455.0,75.0,110.0,335.0,70.0
2,6,2,1,2,1,41325242351,3332,9,5,4,1,3,2,5,2,4,2,3,5,1,370.0,1850.0,2220.0,0,0,3,4,1,3,2,5,2,4,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,375.0,450.0,570.0,825.0,935.0,1050.0,1370.0,1440.0,1540.0,2010.0,2105.0,2782.5,2597.0,-842150451,-1,5440,-1,-1,1.0,0.0,,,75.0,120.0,255.0,110.0,115.0,320.0,70.0,100.0,470.0,95.0
