BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,isTrialError,timingError,IPI_Number,IPI_Value,N,Press_Number,Press_Value,Response_Number,Response_Value,isPressError
6,1,4,1,2,0,13524232514,3332,5,2,0,0,IPI3,315.0,4,press4,2,response4,2,False
6,2,4,1,2,0,25435234124,3332,9,3,1,0,IPI3,510.0,4,press4,3,response4,3,False
6,3,4,1,2,0,43131235143,2333,7,2,0,0,IPI3,215.0,4,press4,3,response4,3,False
6,4,4,1,2,0,14325242135,2333,7,2,1,0,IPI3,675.0,4,press4,2,response4,2,False
6,5,4,1,2,0,23512451252,2333,9,4,1,0,IPI3,500.0,4,press4,1,response4,1,False
6,6,4,1,2,0,14325242135,2333,5,2,0,0,IPI3,420.0,4,press4,2,response4,2,False
6,7,4,1,2,0,41325242351,3332,5,2,0,0,IPI3,330.0,4,press4,2,response4,2,False
6,8,4,1,2,0,51423252413,2333,9,1,0,0,IPI3,85.0,4,press4,2,response4,2,False
6,9,4,1,2,0,23512425232,2333,5,5,1,0,IPI3,430.0,4,press4,1,response4,1,False
6,10,4,1,2,0,41325242351,3332,7,5,0,0,IPI3,300.0,4,press4,2,response4,2,False
6,11,4,1,2,0,51423252413,2333,7,2,1,0,IPI3,820.0,4,press4,2,response4,2,False
6,12,4,1,2,0,51423252413,2333,9,1,0,0,IPI3,275.0,4,press4,2,response4,2,False
6,13,4,1,2,0,41325242351,3332,5,2,0,0,IPI3,275.0,4,press4,2,response4,2,False
6,14,4,1,2,0,51423252413,2333,7,2,0,0,IPI3,100.0,4,press4,2,response4,2,False
6,15,4,1,2,0,32153253421,3332,5,4,0,0,IPI3,365.0,4,press4,5,response4,5,False
6,16,4,1,2,0,13524232514,3332,7,2,0,0,IPI3,290.0,4,press4,2,response4,2,False
6,17,4,1,2,0,13524232514,3332,7,1,1,0,IPI3,250.0,4,press4,2,response4,2,False
6,18,4,1,2,0,14325242135,2333,9,2,0,0,IPI3,375.0,4,press4,2,response4,2,False
6,19,4,1,2,0,41325242351,3332,9,5,0,0,IPI3,520.0,4,press4,2,response4,2,False
6,20,4,1,2,0,14325242135,2333,7,5,1,0,IPI3,260.0,4,press4,2,response4,2,False
